epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,fool_loss,time
141,6.787835,6.939667,0.771000,0.016000,492.000000,6.939667,04:48
142,6.807354,6.900956,0.776000,0.020000,459.000000,6.900957,04:45
143,6.702865,6.904635,0.766000,0.022000,482.250000,6.904635,04:48
144,6.795380,6.818668,0.760000,0.029000,459.500000,6.818668,04:47
145,6.778704,6.821935,0.754000,0.027000,427.250000,6.821935,04:41
146,6.781410,6.714750,0.766000,0.036000,467.500000,6.714749,04:36
147,6.756237,6.836568,0.759000,0.027000,429.250000,6.836569,04:37
148,6.787806,6.778812,0.765000,0.037000,433.000000,6.778812,04:36
149,6.705925,6.768972,0.760000,0.027000,430.250000,6.768972,04:30
150,6.701898,6.805485,0.768000,0.025000,495.500000,6.805485,04:27
151,6.656857,6.838158,0.766000,0.028000,462.500000,6.838158,04:29
152,6.628454,6.791873,0.746000,0.031000,510.000000,6.791872,04:33
153,6.769878,6.911685,0.751000,0.020000,508.000000,6.911685,04:42
154,6.714432,6.779456,0.768000,0.026000,500.750000,6.779456,04:42
155,6.628234,6.826957,0.768000,0.029000,517.750000,6.826956,04:53
156,6.697155,6.790221,0.745000,0.028000,516.000000,6.790220,04:46
157,6.666636,6.866444,0.756000,0.023000,490.750000,6.866443,04:45
158,6.682965,6.729860,0.771000,0.027000,472.250000,6.729861,04:40
159,6.705241,6.802181,0.752000,0.020000,483.750000,6.802181,04:39
160,6.780259,6.802435,0.757000,0.019000,468.750000,6.802434,04:38
161,6.744607,6.827244,0.771000,0.026000,486.250000,6.827244,04:41
162,6.697413,6.786784,0.760000,0.032000,483.500000,6.786783,04:43
163,6.623116,6.777259,0.753000,0.027000,465.500000,6.777261,04:31
164,6.584601,6.754511,0.774000,0.033000,493.000000,6.754510,04:29
165,6.651922,6.817381,0.763000,0.034000,508.250000,6.817382,04:31
166,6.651945,6.813738,0.753000,0.035000,457.000000,6.813739,04:32
167,6.561369,6.822310,0.763000,0.039000,463.500000,6.822310,04:31
168,6.523970,6.724324,0.755000,0.041000,463.750000,6.724323,04:33
169,6.637527,6.731052,0.753000,0.028000,471.500000,6.731052,04:45
170,6.567426,6.761323,0.760000,0.030000,469.000000,6.761323,04:44
171,6.533019,6.739397,0.760000,0.030000,492.750000,6.739397,04:49
172,6.649297,6.830293,0.749000,0.025000,490.000000,6.830294,04:45
173,6.516325,6.737748,0.750000,0.029000,480.750000,6.737749,04:38
174,6.597683,6.708746,0.742000,0.026000,516.750000,6.708746,04:39
175,6.688954,6.689937,0.749000,0.038000,482.250000,6.689938,04:34
176,6.563984,6.739417,0.754000,0.030000,503.750000,6.739417,04:31
177,6.593568,6.694558,0.762000,0.038000,468.500000,6.694559,04:29
178,6.568729,6.725322,0.776000,0.038000,488.000000,6.725322,04:31
179,6.616587,6.723614,0.766000,0.034000,507.500000,6.723616,04:31
180,6.547797,6.649623,0.749000,0.040000,476.500000,6.649623,04:29
181,6.615165,6.724376,0.768000,0.036000,495.250000,6.724377,04:32
182,6.613674,6.707165,0.758000,0.036000,496.500000,6.707165,04:34
183,6.529324,6.685514,0.748000,0.030000,455.000000,6.685514,04:35
184,6.557766,6.762478,0.759000,0.038000,493.750000,6.762478,04:35
185,6.580713,6.619842,0.751000,0.034000,463.750000,6.619841,04:39
186,6.558467,6.729012,0.772000,0.040000,466.750000,6.729013,04:38
187,6.505772,6.723458,0.761000,0.049000,476.250000,6.723458,04:39
188,6.563503,6.704922,0.744000,0.037000,492.250000,6.704922,04:39
189,6.566564,6.630877,0.756000,0.037000,482.750000,6.630877,04:40
190,6.554801,6.599362,0.765000,0.052000,488.000000,6.599365,04:41
191,6.428040,6.804455,0.756000,0.024000,489.500000,6.804455,04:31
192,6.531748,6.711636,0.753000,0.033000,473.000000,6.711634,04:34
193,6.534251,6.632098,0.772000,0.031000,501.500000,6.632098,04:33
194,6.524301,6.606349,0.771000,0.039000,519.000000,6.606349,04:31
195,6.500888,6.604085,0.768000,0.037000,491.750000,6.604086,04:33
196,6.494901,6.589496,0.752000,0.035000,498.000000,6.589497,04:32
197,6.502409,6.529920,0.754000,0.037000,496.250000,6.529920,04:39
198,6.355110,6.701015,0.770000,0.038000,508.500000,6.701016,04:49
199,6.431128,6.662760,0.750000,0.039000,493.250000,6.662760,04:43
200,6.495032,6.622617,0.749000,0.031000,498.000000,6.622617,04:36
201,6.532240,6.607862,0.753000,0.042000,517.500000,6.607862,04:38
202,6.463520,6.512096,0.762000,0.052000,521.000000,6.512096,04:38
203,6.528024,6.558110,0.767000,0.049000,507.750000,6.558110,04:37
204,6.448613,6.587518,0.748000,0.035000,495.500000,6.587518,04:53
205,6.504845,6.669692,0.754000,0.041000,493.750000,6.669692,04:51
206,6.585000,6.631995,0.757000,0.038000,503.750000,6.631996,04:50
207,6.480711,6.615633,0.767000,0.043000,498.000000,6.615634,04:48
208,6.496736,6.485378,0.757000,0.043000,507.500000,6.485378,04:47
209,6.398151,6.545450,0.755000,0.045000,507.500000,6.545450,04:38
210,6.454972,6.447665,0.768000,0.055000,484.250000,6.447664,04:33
211,6.370961,6.585848,0.759000,0.048000,490.500000,6.585850,04:44
212,6.459672,6.494695,0.746000,0.038000,478.000000,6.494694,04:56
213,6.480798,6.464901,0.757000,0.046000,499.000000,6.464900,04:51
214,6.341157,6.576972,0.766000,0.046000,488.000000,6.576971,04:51
215,6.528918,6.569466,0.758000,0.046000,466.500000,6.569466,04:50
216,6.441961,6.502932,0.749000,0.052000,474.500000,6.502932,04:48
217,6.348145,6.497607,0.759000,0.057000,487.000000,6.497607,04:41
218,6.375850,6.532226,0.746000,0.049000,483.250000,6.532225,04:35
219,6.403930,6.519784,0.755000,0.052000,479.500000,6.519783,04:36
220,6.398435,6.510561,0.751000,0.047000,486.500000,6.510561,04:37
221,6.402856,6.518094,0.765000,0.044000,531.250000,6.518094,04:39
222,6.394503,6.532870,0.761000,0.044000,500.750000,6.532871,04:34
223,6.360949,6.514708,0.750000,0.055000,497.500000,6.514709,04:43
224,6.387744,6.575891,0.752000,0.037000,481.750000,6.575890,04:38
225,6.396301,6.550528,0.764000,0.044000,517.250000,6.550529,04:30
226,6.401909,6.435375,0.764000,0.053000,506.750000,6.435375,04:30
227,6.371100,6.452794,0.766000,0.059000,524.500000,6.452794,04:34
228,6.351727,6.463733,0.755000,0.049000,491.250000,6.463732,04:33
229,6.364618,6.484829,0.761000,0.049000,503.750000,6.484829,04:41
