epoch,train_loss,valid_loss,validation,div_metric,entropy,fool_loss,div_loss,time
85,1.311635,1.409970,0.533000,1.000000,0.000000,0.559943,0.850027,04:12
86,1.289529,1.380524,0.567000,1.000000,0.000000,0.530365,0.850159,04:11
87,1.325540,1.393154,0.552000,1.000000,0.000000,0.550950,0.842204,04:11
88,1.335105,1.397297,0.559000,1.000000,0.000000,0.542872,0.854425,04:09
89,1.361133,1.382074,0.552000,1.000000,0.000000,0.537331,0.844742,04:12
90,1.321981,1.399563,0.544000,1.000000,0.000000,0.556231,0.843332,04:13
91,1.326225,1.386536,0.561000,1.000000,0.000000,0.550290,0.836246,04:11
92,1.350875,1.384467,0.539000,1.000000,0.000000,0.540839,0.843628,04:13
93,1.347290,1.371947,0.558000,1.000000,0.000000,0.535217,0.836730,04:10
94,1.351750,1.387277,0.549000,1.000000,0.000000,0.541986,0.845291,04:12
95,1.356444,1.382965,0.559000,1.000000,0.000000,0.533920,0.849045,04:25
96,1.330203,1.397558,0.545000,1.000000,0.000000,0.553908,0.843650,04:11
97,1.313675,1.386319,0.545000,1.000000,0.000000,0.543354,0.842965,04:13
98,1.324496,1.398696,0.563000,1.000000,0.000000,0.553513,0.845183,04:10
99,1.314255,1.390602,0.561000,1.000000,0.000000,0.535292,0.855311,04:27
